best_epoch,best_val_f1,final_val_acc,fold
15,0.7559,0.7495,0
7,0.7503,0.7379,1
5,0.7459,0.7373,2
5,0.7462,0.7379,3
8,0.7561,0.7466,4
11,0.7456,0.7412,5
4,0.7434,0.7276,6
15,0.7633,0.7565,7
8,0.7544,0.7482,8
6,0.7639,0.752,9
