,precision,recall,f1-score,support
ADI,0.7222222222222222,0.7123287671232876,0.7172413793103448,292.0
DEB,0.3548387096774194,0.03767123287671233,0.06811145510835913,292.0
LYM,0.4620573355817875,0.9383561643835616,0.6192090395480226,292.0
MUC,0.5616438356164384,0.4212328767123288,0.48140900195694714,292.0
MUS,0.46218487394957986,0.7534246575342466,0.5729166666666666,292.0
NOR,0.22916666666666666,0.03767123287671233,0.06470588235294118,292.0
STR,0.38636363636363635,0.11643835616438356,0.17894736842105263,292.0
TUM,0.37099494097807756,0.7534246575342466,0.4971751412429379,292.0
accuracy,0.4713184931506849,0.4713184931506849,0.4713184931506849,0.4713184931506849
macro avg,0.4436840276319785,0.47131849315068497,0.399964491825909,2336.0
weighted avg,0.4436840276319785,0.4713184931506849,0.399964491825909,2336.0
