,precision,recall,f1-score,support
ADI,0.8626373626373627,0.8092783505154639,0.8351063829787234,388.0
DEB,0.7391304347826086,0.699228791773779,0.7186261558784677,389.0
LYM,0.804147465437788,0.897172236503856,0.8481166464155528,389.0
MUC,0.7351485148514851,0.7654639175257731,0.75,388.0
MUS,0.8011363636363636,0.7249357326478149,0.7611336032388664,389.0
NOR,0.6574074074074074,0.7300771208226221,0.6918392204628502,389.0
STR,0.7391304347826086,0.6555269922879178,0.6948228882833788,389.0
TUM,0.6658536585365854,0.7036082474226805,0.6842105263157895,388.0
accuracy,0.7481505307172724,0.7481505307172724,0.7481505307172724,0.7481505307172724
macro avg,0.7505739552590263,0.7481614236874884,0.7479819279467035,3109.0
weighted avg,0.7505701219781487,0.7481505307172724,0.7479737674045825,3109.0
