,precision,recall,f1-score,support
ADI,0.8120481927710843,0.8663239074550129,0.8383084577114428,389.0
DEB,0.7112299465240641,0.6838046272493573,0.6972477064220184,389.0
LYM,0.8045977011494253,0.9020618556701031,0.850546780072904,388.0
MUC,0.7867435158501441,0.7017994858611826,0.7418478260869565,389.0
MUS,0.7783783783783784,0.7403598971722365,0.758893280632411,389.0
NOR,0.7039106145251397,0.6494845360824743,0.675603217158177,388.0
STR,0.6649874055415617,0.6786632390745502,0.6717557251908397,389.0
TUM,0.6618357487922706,0.7043701799485861,0.6824408468244084,389.0
accuracy,0.7408360128617363,0.7408360128617363,0.7408360128617363,0.7408360128617363
macro avg,0.7404664379415085,0.7408584660641879,0.7395804800123947,3110.0
weighted avg,0.740457571240611,0.7408360128617363,0.7395653709972159,3110.0
