,precision,recall,f1-score,support
ADI,0.8635097493036211,0.7969151670951157,0.8288770053475936,389.0
DEB,0.6806930693069307,0.7069408740359897,0.6935687263556116,389.0
LYM,0.84,0.8637532133676092,0.8517110266159695,389.0
MUC,0.708433734939759,0.7577319587628866,0.7322540473225405,388.0
MUS,0.774798927613941,0.7429305912596401,0.7585301837270341,389.0
NOR,0.7027707808564232,0.7172236503856041,0.7099236641221374,389.0
STR,0.6421319796954315,0.6520618556701031,0.6470588235294118,388.0
TUM,0.720108695652174,0.6812339331619537,0.7001321003963011,389.0
accuracy,0.739871382636656,0.739871382636656,0.739871382636656,0.739871382636656
macro avg,0.741555867171035,0.7398489054673627,0.740256947177075,3110.0
weighted avg,0.7415984864699762,0.739871382636656,0.7402894876991013,3110.0
