,precision,recall,f1-score,support
ADI,0.794044665012407,0.8247422680412371,0.809102402022756,388.0
DEB,0.7080103359173127,0.7043701799485861,0.7061855670103093,389.0
LYM,0.8520408163265306,0.8586118251928021,0.8553137003841229,389.0
MUC,0.7004716981132075,0.7634961439588689,0.7306273062730627,389.0
MUS,0.7988980716253443,0.7474226804123711,0.7723035952063915,388.0
NOR,0.756838905775076,0.6401028277634961,0.6935933147632312,389.0
STR,0.6763925729442971,0.6555269922879178,0.6657963446475196,389.0
TUM,0.6797235023041475,0.7603092783505154,0.7177615571776156,388.0
accuracy,0.7442907687359279,0.7442907687359279,0.7442907687359279,0.7442907687359279
macro avg,0.7458025710022903,0.7443227744944743,0.7438354734356261,3109.0
weighted avg,0.7457912302091301,0.7442907687359279,0.7438137104462081,3109.0
