,precision,recall,f1-score,support
ADI,0.8159203980099502,0.845360824742268,0.830379746835443,388.0
DEB,0.679814385150812,0.7532133676092545,0.7146341463414634,389.0
LYM,0.8228155339805825,0.87146529562982,0.846441947565543,389.0
MUC,0.7409326424870466,0.7352185089974294,0.7380645161290322,389.0
MUS,0.7566909975669099,0.8015463917525774,0.7784730913642053,388.0
NOR,0.6938775510204082,0.6118251928020566,0.6502732240437158,389.0
STR,0.662269129287599,0.6452442159383034,0.6536458333333334,389.0
TUM,0.7275362318840579,0.6469072164948454,0.684856753069577,388.0
accuracy,0.73882277259569,0.73882277259569,0.73882277259569,0.73882277259569
macro avg,0.7374821086734208,0.7388476267458194,0.7370961573352892,3109.0
weighted avg,0.7374538998276695,0.73882277259569,0.7370696468434065,3109.0
