,precision,recall,f1-score,support
ADI,0.8739946380697051,0.8402061855670103,0.8567674113009198,388.0
DEB,0.7424657534246575,0.6966580976863753,0.7188328912466844,389.0
LYM,0.8647959183673469,0.87146529562982,0.8681177976952625,389.0
MUC,0.6673960612691466,0.7860824742268041,0.7218934911242604,388.0
MUS,0.8057971014492754,0.7146529562982005,0.7574931880108992,389.0
NOR,0.6866485013623979,0.6478149100257069,0.6666666666666666,389.0
STR,0.6497695852534562,0.7249357326478149,0.6852976913730255,389.0
TUM,0.6861702127659575,0.6649484536082474,0.675392670157068,388.0
accuracy,0.7433258282405918,0.7433258282405918,0.7433258282405918,0.7433258282405918
macro avg,0.7471297214952428,0.7433455132112474,0.7438077259468483,3109.0
weighted avg,0.7471341693088102,0.7433258282405918,0.7438004469520777,3109.0
