,precision,recall,f1-score,support
ADI,0.8160621761658031,0.8097686375321337,0.8129032258064516,389.0
DEB,0.7263157894736842,0.711340206185567,0.71875,388.0
LYM,0.783410138248848,0.8740359897172236,0.8262454434993924,389.0
MUC,0.6981132075471698,0.7609254498714653,0.7281672816728167,389.0
MUS,0.8052325581395349,0.7139175257731959,0.7568306010928961,388.0
NOR,0.6666666666666666,0.5501285347043702,0.6028169014084507,389.0
STR,0.6380697050938338,0.6118251928020566,0.6246719160104987,389.0
TUM,0.6353467561521253,0.7319587628865979,0.6802395209580838,388.0
accuracy,0.7204889031843036,0.7204889031843036,0.7204889031843036,0.7204889031843036
macro avg,0.7211521246859582,0.7204875374340762,0.7188281113060737,3109.0
weighted avg,0.7211510186294425,0.7204889031843036,0.7188283249477165,3109.0
