,precision,recall,f1-score,support
ADI,0.4878682842287695,0.964041095890411,0.6478711162255466,584.0
DEB,0.4,0.0136986301369863,0.026490066225165563,584.0
LYM,0.4967741935483871,0.922945205479452,0.6458957459556621,584.0
MUC,0.5263157894736842,0.18835616438356165,0.27742749054224464,584.0
MUS,0.5372405372405372,0.7534246575342466,0.6272273699215966,584.0
NOR,0.25,0.0273972602739726,0.04938271604938271,584.0
STR,0.35294117647058826,0.07191780821917808,0.11948790896159317,584.0
TUM,0.3935108153078203,0.809931506849315,0.5296752519596865,584.0
accuracy,0.4689640410958904,0.4689640410958904,0.4689640410958904,0.4689640410958904
macro avg,0.4305813495337233,0.4689640410958904,0.36543220823010975,4672.0
weighted avg,0.43058134953372335,0.4689640410958904,0.3654322082301097,4672.0
