,precision,recall,f1-score,support
ADI,0.8333333333333334,0.8043758043758044,0.8185985592665357,777.0
DEB,0.7117572692793932,0.7236503856041131,0.7176545570427023,778.0
LYM,0.8161057692307693,0.8738738738738738,0.8440024860161591,777.0
MUC,0.7013142174432497,0.7554697554697555,0.7273853779429987,777.0
MUS,0.8055944055944056,0.7403598971722365,0.7716008037508373,778.0
NOR,0.7298578199052133,0.5945945945945946,0.6553191489361702,777.0
STR,0.6219512195121951,0.6555269922879178,0.6382978723404256,778.0
TUM,0.6611177170035671,0.7155727155727156,0.6872682323856613,777.0
accuracy,0.7329152596880527,0.7329152596880527,0.7329152596880527,0.7329152596880527
macro avg,0.7351289689127658,0.7329280023688765,0.7325158797101863,6219.0
weighted avg,0.7351183427650969,0.7329152596880527,0.7325046247807769,6219.0
