,precision,recall,f1-score,support
ADI,0.8307291666666666,0.8200514138817481,0.8253557567917206,389.0
DEB,0.6825775656324582,0.7371134020618557,0.7087980173482032,388.0
LYM,0.7958715596330275,0.8920308483290489,0.8412121212121212,389.0
MUC,0.7427821522309711,0.7275064267352185,0.7350649350649351,389.0
MUS,0.8207282913165266,0.7551546391752577,0.7865771812080536,388.0
NOR,0.6503667481662592,0.6838046272493573,0.6666666666666666,389.0
STR,0.6736842105263158,0.6580976863753213,0.6657997399219766,389.0
TUM,0.7238372093023255,0.6401028277634961,0.679399727148704,389.0
accuracy,0.7392282958199357,0.7392282958199357,0.7392282958199357,0.7392282958199357
macro avg,0.7400721129343188,0.7392327339464129,0.7386092681702976,3110.0
weighted avg,0.7400646654645181,0.7392282958199357,0.7386034300152444,3110.0
