,precision,recall,f1-score,support
ADI,0.8115942028985508,0.865979381443299,0.8379052369077307,388.0
DEB,0.7244094488188977,0.7095115681233933,0.7168831168831169,389.0
LYM,0.8054919908466819,0.9048843187660668,0.8523002421307506,389.0
MUC,0.7635869565217391,0.7242268041237113,0.7433862433862434,388.0
MUS,0.8071979434447301,0.8071979434447301,0.8071979434447301,389.0
NOR,0.6766917293233082,0.6940874035989717,0.6852791878172588,389.0
STR,0.7025495750708215,0.6391752577319587,0.6693657219973009,388.0
TUM,0.7119565217391305,0.6735218508997429,0.6922060766182299,389.0
accuracy,0.7523319395303957,0.7523319395303957,0.7523319395303957,0.7523319395303957
macro avg,0.7504347960829825,0.7523230660164842,0.7505654711481702,3109.0
weighted avg,0.7504262961324383,0.7523319395303957,0.750565805407145,3109.0
