,precision,recall,f1-score,support
ADI,0.8364116094986808,0.8149100257069408,0.8255208333333334,389.0
DEB,0.7239583333333334,0.7146529562982005,0.7192755498059509,389.0
LYM,0.8162291169451074,0.8814432989690721,0.8475836431226765,388.0
MUC,0.7163814180929096,0.7532133676092545,0.7343358395989975,389.0
MUS,0.8184438040345822,0.7300771208226221,0.7717391304347826,389.0
NOR,0.6440677966101694,0.6855670103092784,0.6641697877652933,388.0
STR,0.6691729323308271,0.6863753213367609,0.6776649746192893,389.0
TUM,0.6888888888888889,0.6375321336760925,0.6622162883845126,389.0
accuracy,0.7379421221864951,0.7379421221864951,0.7379421221864951,0.7379421221864951
macro avg,0.7391942374668123,0.7379714043410277,0.7378132558831045,3110.0
weighted avg,0.7392000546891205,0.7379421221864951,0.7378016395103967,3110.0
