,precision,recall,f1-score,support
ADI,0.8753541076487252,0.794344473007712,0.8328840970350404,389.0
DEB,0.7094240837696335,0.6984536082474226,0.7038961038961039,388.0
LYM,0.8225419664268585,0.8817480719794345,0.8511166253101737,389.0
MUC,0.7348837209302326,0.8123393316195373,0.7716727716727717,389.0
MUS,0.7806788511749347,0.7686375321336761,0.7746113989637305,389.0
NOR,0.6766917293233082,0.6958762886597938,0.6861499364675985,388.0
STR,0.6862244897959183,0.6915167095115681,0.6888604353393086,389.0
TUM,0.7175141242937854,0.6529562982005142,0.6837146702557201,389.0
accuracy,0.7495176848874598,0.7495176848874598,0.7495176848874598,0.7495176848874598
macro avg,0.7504141341704246,0.7494840391699573,0.749113254867556,3110.0
weighted avg,0.7504510192042664,0.7495176848874598,0.7491480395843956,3110.0
