,precision,recall,f1-score,support
ADI,0.8701657458563536,0.8097686375321337,0.8388814913448736,389.0
DEB,0.7216494845360825,0.7216494845360825,0.7216494845360825,388.0
LYM,0.8084112149532711,0.8894601542416453,0.847001223990208,389.0
MUC,0.7122302158273381,0.7634961439588689,0.7369727047146402,389.0
MUS,0.8512658227848101,0.6932989690721649,0.7642045454545454,388.0
NOR,0.6709183673469388,0.6760925449871465,0.6734955185659411,389.0
STR,0.6483253588516746,0.6966580976863753,0.6716232961586122,389.0
TUM,0.6786632390745502,0.6786632390745502,0.6786632390745502,389.0
accuracy,0.7411575562700965,0.7411575562700965,0.7411575562700965,0.7411575562700965
macro avg,0.7452036811538774,0.7411359088861209,0.7415614379799316,3110.0
weighted avg,0.7451771512680211,0.7411575562700965,0.7415605597953558,3110.0
