,precision,recall,f1-score,support
ADI,0.8492597577388964,0.8120978120978121,0.8302631578947368,777.0
DEB,0.716931216931217,0.6966580976863753,0.7066492829204694,778.0
LYM,0.8412903225806452,0.8391248391248392,0.8402061855670103,777.0
MUC,0.7160493827160493,0.7464607464607464,0.7309388783868935,777.0
MUS,0.8072122052704577,0.7480719794344473,0.7765176784523016,778.0
NOR,0.6512890094979648,0.6177606177606177,0.6340819022457067,777.0
STR,0.6742323097463284,0.6491002570694088,0.6614276358873609,778.0
TUM,0.6293103448275862,0.7516087516087516,0.6850439882697947,777.0
accuracy,0.7325936645762985,0.7325936645762985,0.7325936645762985,0.7325936645762985
macro avg,0.7356968186636431,0.7326103876553748,0.7331410887030343,6219.0
weighted avg,0.7356954173573168,0.7325936645762985,0.7331322723870912,6219.0
