,precision,recall,f1-score,support
ADI,0.8152709359605911,0.8508997429305912,0.8327044025157233,389.0
DEB,0.7081081081081081,0.6735218508997429,0.6903820816864296,389.0
LYM,0.8390243902439024,0.8865979381443299,0.8621553884711779,388.0
MUC,0.7235142118863049,0.7197943444730077,0.7216494845360825,389.0
MUS,0.8096590909090909,0.7326478149100257,0.7692307692307693,389.0
NOR,0.6683544303797468,0.6804123711340206,0.6743295019157088,388.0
STR,0.7008086253369272,0.6683804627249358,0.6842105263157895,389.0
TUM,0.6634844868735084,0.7146529562982005,0.6881188118811881,389.0
accuracy,0.7408360128617363,0.7408360128617363,0.7408360128617363,0.7408360128617363
macro avg,0.7410280349622724,0.7408634351893568,0.7403476208191087,3110.0
weighted avg,0.7410198925987037,0.7408360128617363,0.7403296820252988,3110.0
