best_epoch,best_val_f1,final_val_acc,fold
7,0.7502,0.7399,0
6,0.7479,0.7395,1
5,0.7607,0.7537,2
5,0.7507,0.7408,3
4,0.7553,0.7495,4
22,0.749,0.7392,5
8,0.7352,0.7205,6
4,0.7471,0.7443,7
16,0.7525,0.7523,8
4,0.7668,0.7565,9
