,precision,recall,f1-score,support
ADI,0.8944281524926686,0.7860824742268041,0.8367626886145405,388.0
DEB,0.7128712871287128,0.7403598971722365,0.7263556116015133,389.0
LYM,0.8227848101265823,0.8354755784061697,0.8290816326530612,389.0
MUC,0.7334905660377359,0.8015463917525774,0.7660098522167488,388.0
MUS,0.8337801608579088,0.7994858611825193,0.8162729658792651,389.0
NOR,0.6810551558752997,0.7300771208226221,0.7047146401985112,389.0
STR,0.6935933147632312,0.6417525773195877,0.6666666666666666,388.0
TUM,0.7045454545454546,0.7172236503856041,0.710828025477707,389.0
accuracy,0.7565133483435188,0.7565133483435188,0.7565133483435188,0.7565133483435188
macro avg,0.7595686127284493,0.7565004439085151,0.7570865104135017,3109.0
weighted avg,0.7595548442514122,0.7565133483435188,0.7570870959148663,3109.0
