,precision,recall,f1-score,support
ADI,0.8207792207792208,0.8123393316195373,0.8165374677002584,778.0
DEB,0.6868811881188119,0.7142857142857143,0.7003154574132492,777.0
LYM,0.8257211538461539,0.8841698841698842,0.8539465506525793,777.0
MUC,0.7173100871731009,0.7403598971722365,0.7286527514231499,778.0
MUS,0.786472148541114,0.7631917631917632,0.774657086871326,777.0
NOR,0.6795212765957447,0.6568123393316195,0.6679738562091503,778.0
STR,0.6708229426433915,0.6924066924066924,0.681443951868271,777.0
TUM,0.7048710601719198,0.6332046332046332,0.6671186440677966,777.0
accuracy,0.7370959961408586,0.7370959961408586,0.7370959961408586,0.7370959961408586
macro avg,0.7365473847336822,0.73709628192276,0.7363307207757226,6219.0
weighted avg,0.7365486660378062,0.7370959961408586,0.7363313916091372,6219.0
