,precision,recall,f1-score,support
ADI,0.8286445012787724,0.8350515463917526,0.8318356867779204,388.0
DEB,0.6970443349753694,0.7275064267352185,0.7119496855345911,389.0
LYM,0.8268292682926829,0.87146529562982,0.8485607008760951,389.0
MUC,0.7717948717948718,0.7757731958762887,0.7737789203084833,388.0
MUS,0.8490028490028491,0.7660668380462725,0.8054054054054054,389.0
NOR,0.6852300242130751,0.7275064267352185,0.7057356608478803,389.0
STR,0.6967930029154519,0.615979381443299,0.6538987688098495,388.0
TUM,0.6691358024691358,0.6966580976863753,0.6826196473551638,389.0
accuracy,0.752010292698617,0.752010292698617,0.752010292698617,0.752010292698617
macro avg,0.7530593318677761,0.7520009010680306,0.7517230594894236,3109.0
weighted avg,0.7530470917968897,0.752010292698617,0.7517216621920844,3109.0
