,precision,recall,f1-score,support
ADI,0.8255528255528255,0.8637532133676092,0.8442211055276382,778.0
DEB,0.6611374407582938,0.7181467181467182,0.688463911165947,777.0
LYM,0.8103864734299517,0.8624678663239075,0.8356164383561644,778.0
MUC,0.7413333333333333,0.7155727155727156,0.7282252783235101,777.0
MUS,0.7948016415868673,0.7477477477477478,0.7705570291777188,777.0
NOR,0.6980132450331126,0.6773778920308483,0.6875407697325505,778.0
STR,0.6524547803617571,0.6499356499356499,0.6511927788523533,777.0
TUM,0.7071823204419889,0.6580976863753213,0.681757656458056,778.0
accuracy,0.7366559485530546,0.7366559485530546,0.7366559485530546,0.7366559485530546
macro avg,0.7363577575622662,0.7366374361875647,0.7359468709492423,6220.0
weighted avg,0.7363731440307885,0.7366559485530546,0.7359638080049139,6220.0
