,precision,recall,f1-score,support
ADI,0.9821520951888256,0.9768458965783381,0.9794918096220818,3887.0
DEB,0.9685971685971686,0.9680987908412657,0.9683479155944416,3887.0
LYM,0.9746835443037974,0.9904810908155389,0.9825188209774148,3887.0
MUC,0.9569377990430622,0.9776177000257268,0.9671672181216594,3887.0
MUS,0.9810476441168728,0.958837149472601,0.9698152485037731,3887.0
NOR,0.9695106328465283,0.9735014149729869,0.9715019255455712,3887.0
STR,0.965426925091671,0.948289169024955,0.9567813108371187,3887.0
TUM,0.9626024590163934,0.9668124517622846,0.9647028622769863,3887.0
accuracy,0.9700604579367121,0.9700604579367121,0.9700604579367121,0.9700604579367121
macro avg,0.97011978352554,0.9700604579367121,0.9700408889348808,31096.0
weighted avg,0.9701197835255398,0.9700604579367121,0.9700408889348809,31096.0
