,precision,recall,f1-score,support
ADI,0.8245382585751979,0.8033419023136247,0.8138020833333334,778.0
DEB,0.7194805194805195,0.712998712998713,0.7162249515190692,777.0
LYM,0.8268015170670038,0.8416988416988417,0.8341836734693877,777.0
MUC,0.6857476635514018,0.7544987146529563,0.7184822521419829,778.0
MUS,0.8188854489164087,0.6808236808236808,0.7434996486296557,777.0
NOR,0.6611039794608472,0.6619537275064268,0.6615285806037251,778.0
STR,0.6195524146054181,0.676962676962677,0.6469864698646987,777.0
TUM,0.6636363636363637,0.6576576576576577,0.6606334841628959,777.0
accuracy,0.7237497990030551,0.7237497990030551,0.7237497990030551,0.7237497990030551
macro avg,0.7274682706616451,0.7237419893268222,0.7244176429655935,6219.0
weighted avg,0.727466499490975,0.7237497990030551,0.7244209489612814,6219.0
