,precision,recall,f1-score,support
ADI,0.8489010989010989,0.794344473007712,0.8207171314741036,389.0
DEB,0.7146596858638743,0.7036082474226805,0.7090909090909091,388.0
LYM,0.8734491315136477,0.9048843187660668,0.8888888888888888,389.0
MUC,0.7241379310344828,0.7557840616966581,0.7396226415094339,389.0
MUS,0.782608695652174,0.7866323907455013,0.7846153846153846,389.0
NOR,0.6866840731070496,0.6778350515463918,0.682230869001297,388.0
STR,0.6887254901960784,0.7223650385604113,0.7051442910915935,389.0
TUM,0.7024128686327078,0.6735218508997429,0.6876640419947506,389.0
accuracy,0.752411575562701,0.752411575562701,0.752411575562701,0.752411575562701
macro avg,0.7526973718626392,0.7523719290806455,0.7522467697082951,3110.0
weighted avg,0.7527308287709205,0.752411575562701,0.7522831593421615,3110.0
