,precision,recall,f1-score,support
ADI,0.6861538461538461,0.7636986301369864,0.7228525121555915,292.0
DEB,0.6438356164383562,0.4828767123287671,0.5518590998043053,292.0
LYM,0.6269662921348315,0.9554794520547946,0.757123473541384,292.0
MUC,0.4543147208121827,0.613013698630137,0.521865889212828,292.0
MUS,0.7088122605363985,0.6335616438356164,0.6690777576853526,292.0
NOR,0.46464646464646464,0.4726027397260274,0.4685908319185059,292.0
STR,0.579185520361991,0.4383561643835616,0.49902534113060426,292.0
TUM,0.6839080459770115,0.4075342465753425,0.5107296137339056,292.0
accuracy,0.5958904109589042,0.5958904109589042,0.5958904109589042,0.5958904109589042
macro avg,0.6059778458826353,0.595890410958904,0.5876405648978096,2336.0
weighted avg,0.6059778458826354,0.5958904109589042,0.5876405648978095,2336.0
