,precision,recall,f1-score,support
ADI,0.8498583569405099,0.7712082262210797,0.8086253369272237,778.0
DEB,0.7098445595854922,0.7052767052767053,0.7075532601678503,777.0
LYM,0.8246913580246914,0.8597168597168597,0.8418399495904222,777.0
MUC,0.725925925925926,0.7557840616966581,0.7405541561712846,778.0
MUS,0.8064516129032258,0.7400257400257401,0.7718120805369127,777.0
NOR,0.662303664921466,0.6503856041131105,0.6562905317769131,778.0
STR,0.6800518134715026,0.6756756756756757,0.6778566817301485,777.0
TUM,0.6456422018348624,0.7245817245817245,0.6828380836870831,777.0
accuracy,0.73532722302621,0.73532722302621,0.73532722302621,0.73532722302621
macro avg,0.7380961867009594,0.7353318246634442,0.7359212600734797,6219.0
weighted avg,0.7381000135843306,0.73532722302621,0.7359208912432265,6219.0
