Classe,Dificuldade_Diagnostica,Robustez_Morfologica
ADI,0.7398505649574939,0.668291587493875
DEB,0.9668681761594784,0.6506808926789591
LYM,0.7798662652874865,0.6656435885251193
MUC,0.8379412810511605,0.6602164130420044
MUS,0.8640372236077305,0.651554391961616
NOR,0.9885827415309587,0.6547423270562162
STR,0.9217917399438277,0.6557240164634786
TUM,0.9785176294974687,0.6534532353738264
