,precision,recall,f1-score,support
ADI,0.848,0.8185328185328186,0.8330058939096268,777.0
DEB,0.7344213649851632,0.6362467866323908,0.6818181818181818,778.0
LYM,0.8153310104529616,0.9034749034749034,0.8571428571428571,777.0
MUC,0.7044392523364486,0.7750642673521851,0.7380660954712362,778.0
MUS,0.8226037195994278,0.7400257400257401,0.7791327913279132,777.0
NOR,0.6442307692307693,0.6898326898326899,0.6662523306401492,777.0
STR,0.6744759556103576,0.7030848329048843,0.6884833228445564,778.0
TUM,0.6970108695652174,0.6602316602316602,0.6781229345670853,777.0
accuracy,0.7407943399260332,0.7407943399260332,0.7407943399260332,0.7407943399260332
macro avg,0.7425641177225432,0.740811712373409,0.7402530509652008,6219.0
weighted avg,0.7425457295925808,0.7407943399260332,0.7402349786782154,6219.0
