,precision,recall,f1-score,support
ADI,0.8603988603988604,0.7773487773487774,0.8167680865449628,777.0
DEB,0.7338345864661654,0.6272493573264781,0.6763686763686764,778.0
LYM,0.8229548229548229,0.8674388674388674,0.8446115288220551,777.0
MUC,0.6825396825396826,0.7737789203084833,0.7253012048192771,778.0
MUS,0.8138847858197932,0.7091377091377091,0.7579092159559835,777.0
NOR,0.676985195154778,0.6473616473616474,0.6618421052631579,777.0
STR,0.6400449943757031,0.7313624678663239,0.6826634673065387,778.0
TUM,0.6579572446555819,0.712998712998713,0.6843730697961705,777.0
accuracy,0.7308248914616498,0.7308248914616498,0.7308248914616498,0.7308248914616498
macro avg,0.7360750215456734,0.730834557473375,0.7312296693596028,6219.0
weighted avg,0.7360506115438635,0.7308248914616498,0.7312120852368202,6219.0
