,precision,recall,f1-score,support
ADI,0.8846737481031867,0.7503217503217503,0.8119777158774373,777.0
DEB,0.7682539682539683,0.622107969151671,0.6875,778.0
LYM,0.81786133960047,0.8957528957528957,0.855036855036855,777.0
MUC,0.6865509761388287,0.8136246786632391,0.7447058823529412,778.0
MUS,0.7924281984334204,0.7812097812097812,0.7867790019442644,777.0
NOR,0.6585051546391752,0.6576576576576577,0.6580811332904056,777.0
STR,0.6785260482846251,0.6863753213367609,0.6824281150159744,778.0
TUM,0.6690821256038647,0.712998712998713,0.6903426791277258,777.0
accuracy,0.7399903521466473,0.7399903521466473,0.7399903521466473,0.7399903521466473
macro avg,0.7444851948821924,0.7400060958865586,0.7396064228307004,6219.0
weighted avg,0.7444690950925205,0.7399903521466473,0.7395896700937454,6219.0
