,precision,recall,f1-score,support
ADI,0.5511363636363636,0.6643835616438356,0.6024844720496895,292.0
DEB,0.8888888888888888,0.0547945205479452,0.1032258064516129,292.0
LYM,0.5443548387096774,0.9246575342465754,0.6852791878172588,292.0
MUC,0.4093567251461988,0.4794520547945205,0.4416403785488959,292.0
MUS,0.43675417661097854,0.6267123287671232,0.5147679324894515,292.0
NOR,0.4380952380952381,0.15753424657534246,0.23173803526448364,292.0
STR,0.46629213483146065,0.2842465753424658,0.35319148936170214,292.0
TUM,0.4647887323943662,0.678082191780822,0.5515320334261838,292.0
accuracy,0.4837328767123288,0.4837328767123288,0.4837328767123288,0.4837328767123288
macro avg,0.5249583872891466,0.4837328767123288,0.4354824169261598,2336.0
weighted avg,0.5249583872891466,0.4837328767123288,0.43548241692615974,2336.0
