,precision,recall,f1-score,support
ADI,0.8004807692307693,0.8560411311053985,0.8273291925465839,389.0
DEB,0.7345844504021448,0.7043701799485861,0.7191601049868767,389.0
LYM,0.8140703517587939,0.8350515463917526,0.8244274809160306,388.0
MUC,0.7446808510638298,0.7197943444730077,0.7320261437908496,389.0
MUS,0.8619631901840491,0.7223650385604113,0.786013986013986,389.0
NOR,0.7359550561797753,0.6735218508997429,0.7033557046979866,389.0
STR,0.6423357664233577,0.6804123711340206,0.6608260325406758,388.0
TUM,0.6211453744493393,0.7249357326478149,0.6690391459074733,389.0
accuracy,0.7395498392282959,0.7395498392282959,0.7395498392282959,0.7395498392282959
macro avg,0.7444019762115074,0.7395615243950919,0.7402722239250578,3110.0
weighted avg,0.7444123935215526,0.7395498392282959,0.7402707097560526,3110.0
