,precision,recall,f1-score,support
ADI,0.8191881918819188,0.8560411311053985,0.8372093023255814,778.0
DEB,0.7036553524804178,0.6936936936936937,0.6986390149060272,777.0
LYM,0.8186157517899761,0.8817480719794345,0.849009900990099,778.0
MUC,0.7307692307692307,0.7335907335907336,0.7321772639691715,777.0
MUS,0.8044077134986226,0.7516087516087516,0.7771124417831005,777.0
NOR,0.6963824289405685,0.6928020565552699,0.6945876288659794,778.0
STR,0.6820143884892086,0.61003861003861,0.6440217391304348,777.0
TUM,0.6642512077294686,0.7069408740359897,0.684931506849315,778.0
accuracy,0.7408360128617363,0.7408360128617363,0.7408360128617363,0.7408360128617363
macro avg,0.7399105331974265,0.7408079903259852,0.7397110998524636,6220.0
weighted avg,0.7399167704076438,0.7408360128617363,0.739728285373303,6220.0
