,precision,recall,f1-score,support
ADI,0.8366583541147132,0.8635778635778636,0.8499050031665611,777.0
DEB,0.6613418530351438,0.7992277992277992,0.7237762237762237,777.0
LYM,0.8518518518518519,0.8277634961439588,0.8396349413298566,778.0
MUC,0.7730398899587345,0.7232947232947233,0.7473404255319149,777.0
MUS,0.8292682926829268,0.7429305912596401,0.783728813559322,778.0
NOR,0.6924101198402131,0.6692406692406693,0.680628272251309,777.0
STR,0.6815286624203821,0.6885456885456885,0.6850192061459667,777.0
TUM,0.6929133858267716,0.6786632390745502,0.6857142857142857,778.0
accuracy,0.749155812831645,0.749155812831645,0.749155812831645,0.749155812831645
macro avg,0.7523765512163422,0.7491555087956117,0.74946839643443,6219.0
weighted avg,0.7523953490739902,0.749155812831645,0.7494781524806272,6219.0
