,precision,recall,f1-score,support
ADI,0.8522427440633246,0.8303341902313625,0.8411458333333334,389.0
DEB,0.6790697674418604,0.7525773195876289,0.7139364303178484,388.0
LYM,0.8019323671497585,0.8534704370179949,0.8268991282689913,389.0
MUC,0.7108433734939759,0.7583547557840618,0.7338308457711443,389.0
MUS,0.7922437673130194,0.7371134020618557,0.7636849132176236,388.0
NOR,0.6613924050632911,0.5372750642673522,0.5929078014184397,389.0
STR,0.6631016042780749,0.6375321336760925,0.6500655307994757,389.0
TUM,0.6595238095238095,0.7139175257731959,0.6856435643564357,388.0
accuracy,0.7275651334834352,0.7275651334834352,0.7275651334834352,0.7275651334834352
macro avg,0.7275437297908893,0.7275718535499429,0.7260142559354115,3109.0
weighted avg,0.7275603891170694,0.7275651334834352,0.7260190091872333,3109.0
