,precision,recall,f1-score,support
ADI,0.8529411764705882,0.8200514138817481,0.836173001310616,389.0
DEB,0.7467700258397932,0.7448453608247423,0.7458064516129033,388.0
LYM,0.8184019370460048,0.8688946015424165,0.8428927680798005,389.0
MUC,0.7006960556844548,0.7763496143958869,0.7365853658536585,389.0
MUS,0.8174157303370787,0.75,0.782258064516129,388.0
NOR,0.6647887323943662,0.6066838046272494,0.6344086021505376,389.0
STR,0.7020648967551623,0.6118251928020566,0.6538461538461539,389.0
TUM,0.6387665198237885,0.7474226804123711,0.6888361045130641,388.0
accuracy,0.7407526535863622,0.7407526535863622,0.7407526535863622,0.7407526535863622
macro avg,0.7427306342939046,0.7407590835608089,0.7401008139853578,3109.0
weighted avg,0.7427387525399262,0.7407526535863622,0.7401019081704057,3109.0
