,precision,recall,f1-score,support
ADI,0.815,0.8380462724935732,0.826362484157161,778.0
DEB,0.6662665066026411,0.7142857142857143,0.6894409937888198,777.0
LYM,0.8405228758169935,0.8264781491002571,0.8334413480233311,778.0
MUC,0.7043795620437956,0.7451737451737451,0.724202626641651,777.0
MUS,0.8028169014084507,0.7335907335907336,0.7666442501681238,777.0
NOR,0.6953125,0.6863753213367609,0.6908150064683053,778.0
STR,0.6408706166868199,0.6821106821106822,0.6608478802992519,777.0
TUM,0.7093525179856115,0.6336760925449871,0.6693822131704006,778.0
accuracy,0.732475884244373,0.732475884244373,0.732475884244373,0.732475884244373
macro avg,0.734315185068039,0.7324670888295567,0.7326421003396305,6220.0
weighted avg,0.7343349482760022,0.732475884244373,0.7326564785792545,6220.0
