,precision,recall,f1-score,support
ADI,0.8300970873786407,0.8791773778920309,0.8539325842696629,389.0
DEB,0.7349726775956285,0.6915167095115681,0.7125827814569536,389.0
LYM,0.7873303167420814,0.8946015424164524,0.8375451263537906,389.0
MUC,0.7626666666666667,0.7371134020618557,0.7496723460026212,388.0
MUS,0.7846153846153846,0.7866323907455013,0.785622593068036,389.0
NOR,0.7146529562982005,0.7146529562982005,0.7146529562982005,389.0
STR,0.6532258064516129,0.6262886597938144,0.6394736842105263,388.0
TUM,0.7115384615384616,0.6658097686375322,0.6879150066401063,389.0
accuracy,0.7495176848874598,0.7495176848874598,0.7495176848874598,0.7495176848874598
macro avg,0.7473874196608347,0.7494741009196194,0.7476746347874872,3110.0
weighted avg,0.7474127837657232,0.7495176848874598,0.7477087837390506,3110.0
