Classe,Dificuldade_Diagnostica,Robustez_Morfologica
ADI,0.7398505649574939,0.6674758018179601
DEB,0.9668681761594784,0.6535013250140153
LYM,0.7798662652874865,0.6670758397874481
MUC,0.8379412810511605,0.6608933248873182
MUS,0.8640372236077305,0.649411865521481
NOR,0.9885827415309587,0.6560446128622567
STR,0.9217917399438277,0.6524925249779244
TUM,0.9785176294974687,0.6534385564028576
