,precision,recall,f1-score,support
ADI,0.8225419664268585,0.8817480719794345,0.8511166253101737,389.0
DEB,0.7443820224719101,0.6812339331619537,0.7114093959731543,389.0
LYM,0.8235294117647058,0.8637532133676092,0.8431618569636136,389.0
MUC,0.7296650717703349,0.7860824742268041,0.7568238213399504,388.0
MUS,0.7783783783783784,0.7403598971722365,0.758893280632411,389.0
NOR,0.6870588235294117,0.7506426735218509,0.7174447174447175,389.0
STR,0.7037037037037037,0.5876288659793815,0.6404494382022472,388.0
TUM,0.6938775510204082,0.699228791773779,0.6965428937259923,389.0
accuracy,0.7488745980707395,0.7488745980707395,0.7488745980707395,0.7488745980707395
macro avg,0.7478921161332139,0.7488347401478812,0.7469802536990324,3110.0
weighted avg,0.7479121854119253,0.7488745980707395,0.747011342846253,3110.0
