,precision,recall,f1-score,support
ADI,0.8670694864048338,0.7377892030848329,0.7972222222222223,389.0
DEB,0.7223796033994334,0.6572164948453608,0.6882591093117408,388.0
LYM,0.8535980148883374,0.884318766066838,0.8686868686868687,389.0
MUC,0.7178329571106095,0.8174807197943444,0.7644230769230769,389.0
MUS,0.7791878172588832,0.7892030848329049,0.7841634738186463,389.0
NOR,0.6964285714285714,0.7036082474226805,0.7,388.0
STR,0.6699266503667481,0.7043701799485861,0.6867167919799498,389.0
TUM,0.6857142857142857,0.6786632390745502,0.6821705426356589,389.0
accuracy,0.7466237942122187,0.7466237942122187,0.7466237942122187,0.7466237942122187
macro avg,0.7490171733214628,0.7465812418837623,0.7464552606972705,3110.0
weighted avg,0.7490426479747795,0.7466237942122187,0.7464889106690012,3110.0
