,precision,recall,f1-score,support
ADI,0.0,0.0,0.0,292.0
DEB,0.5,0.0410958904109589,0.0759493670886076,292.0
LYM,0.5869565217391305,0.8321917808219178,0.6883852691218131,292.0
MUC,0.3188976377952756,0.8321917808219178,0.46110056925996207,292.0
MUS,0.44306418219461696,0.7328767123287672,0.552258064516129,292.0
NOR,0.19230769230769232,0.08561643835616438,0.11848341232227488,292.0
STR,0.23076923076923078,0.05136986301369863,0.08403361344537816,292.0
TUM,0.40486725663716816,0.6267123287671232,0.49193548387096775,292.0
accuracy,0.4002568493150685,0.4002568493150685,0.4002568493150685,0.4002568493150685
macro avg,0.3346078151803893,0.4002568493150685,0.3090182224531416,2336.0
weighted avg,0.3346078151803893,0.4002568493150685,0.3090182224531416,2336.0
