,precision,recall,f1-score,support
ADI,0.8578947368421053,0.8380462724935732,0.8478543563068921,389.0
DEB,0.6987654320987654,0.7275064267352185,0.7128463476070529,389.0
LYM,0.8629032258064516,0.8273195876288659,0.8447368421052631,388.0
MUC,0.7195121951219512,0.7583547557840618,0.7384230287859824,389.0
MUS,0.8123249299719888,0.7455012853470437,0.7774798927613941,389.0
NOR,0.7150997150997151,0.6452442159383034,0.6783783783783783,389.0
STR,0.6188118811881188,0.6443298969072165,0.6313131313131313,388.0
TUM,0.6357308584686775,0.7043701799485861,0.6682926829268293,389.0
accuracy,0.7363344051446945,0.7363344051446945,0.7363344051446945,0.7363344051446945
macro avg,0.7401303718247217,0.7363340775978586,0.7374155825231155,3110.0
weighted avg,0.7401299041837748,0.7363344051446945,0.7374151906233173,3110.0
