,precision,recall,f1-score,support
ADI,0.859375,0.3767123287671233,0.5238095238095238,292.0
DEB,0.5691056910569106,0.4794520547945205,0.5204460966542751,292.0
LYM,0.6126760563380281,0.8938356164383562,0.7270194986072424,292.0
MUC,0.43037974683544306,0.6986301369863014,0.5326370757180157,292.0
MUS,0.5155555555555555,0.7945205479452054,0.6253369272237197,292.0
NOR,0.553921568627451,0.386986301369863,0.45564516129032256,292.0
STR,0.40408163265306124,0.339041095890411,0.3687150837988827,292.0
TUM,0.7423312883435583,0.4143835616438356,0.5318681318681319,292.0
accuracy,0.547945205479452,0.547945205479452,0.547945205479452,0.547945205479452
macro avg,0.585928317426251,0.547945205479452,0.5356846873712643,2336.0
weighted avg,0.585928317426251,0.547945205479452,0.5356846873712643,2336.0
