,precision,recall,f1-score,support
ADI,0.8397932816537468,0.8376288659793815,0.8387096774193549,388.0
DEB,0.7351351351351352,0.699228791773779,0.7167325428194994,389.0
LYM,0.8321513002364066,0.9048843187660668,0.8669950738916257,389.0
MUC,0.7434052757793765,0.7969151670951157,0.7692307692307693,389.0
MUS,0.8324022346368715,0.7680412371134021,0.7989276139410187,388.0
NOR,0.7289156626506024,0.622107969151671,0.6712898751733704,389.0
STR,0.68,0.699228791773779,0.6894803548795945,389.0
TUM,0.6658767772511849,0.7242268041237113,0.6938271604938272,388.0
accuracy,0.7565133483435188,0.7565133483435188,0.7565133483435188,0.7565133483435188
macro avg,0.7572099584179155,0.7565327432221132,0.7556491334811325,3109.0
weighted avg,0.7571885874245775,0.7565133483435188,0.7556283817759506,3109.0
