,precision,recall,f1-score,support
ADI,0.8316582914572864,0.8508997429305912,0.841168996188056,389.0
DEB,0.7690058479532164,0.6760925449871465,0.719562243502052,389.0
LYM,0.8201438848920863,0.8814432989690721,0.8496894409937888,388.0
MUC,0.7630208333333334,0.7532133676092545,0.7580853816300129,389.0
MUS,0.8711656441717791,0.7300771208226221,0.7944055944055944,389.0
NOR,0.652605459057072,0.6778350515463918,0.6649810366624526,388.0
STR,0.6698795180722892,0.7146529562982005,0.6915422885572139,389.0
TUM,0.6823529411764706,0.7455012853470437,0.7125307125307125,389.0
accuracy,0.7536977491961415,0.7536977491961415,0.7536977491961415,0.7536977491961415
macro avg,0.7574790525141917,0.7537144210637903,0.7539957118087354,3110.0
weighted avg,0.7574926244630917,0.7536977491961415,0.7539935642029351,3110.0
